"","ï..544988"
"508",22534
"509",27527
"510",0
"511",0
"512",0
"513",10407
"514",28737
"515",171066
"516",4614
"517",72830
"518",6507606
"519",124996
"520",43231
"521",5037
"522",32680
"523",8637
"524",24736
"525",2467
"526",2372
"527",2851
"528",648
"529",12730
"530",4056
"531",969244
"532",18172
"533",62608
"534",70392
"535",15058
"536",43954
"537",182553
"538",5327
"539",1552
"540",9438953
"541",7625735
"542",7696216
"543",20340985
"544",18294343
"545",5294566
"546",7679575
"547",5120735
"548",10375754
"549",5174170
"550",12421815
"551",2606783
"552",536501
"553",5229526
"554",2698174
"555",10350877
"556",275
"557",588756
"558",2004146
"559",4755018
"560",7379771
"561",27556
"562",163460
"563",182768
"564",168276
"565",223778
"566",586083
"567",57105
"568",365866
"569",15284
"570",15841
"571",88727
"572",16740
"573",16920
"574",38990
"575",63442
"576",2380976
"577",915350
"578",1711610
"579",1595598
"580",1318306
"581",1116628
"582",146849
"583",20296
"584",23442596
"585",5129125
"586",5250291
"587",7641
"588",927
"589",3798675
"590",16417211
"591",10346627
"592",2304939
"593",29527761
"594",19859441
"595",8824
"596",2014
"597",11824061
"598",12447160
"599",5787026
"600",5187728
"601",581
"602",14796279
"603",2530466
"604",2753980
"605",2856372
"606",2901736
"607",5936498
"608",2718076
"609",2584584
"610",4979806
"611",7597140
"612",7930365
"613",3416130
"614",1999184
"615",14463263
"616",13531175
"617",5355847
"618",8084024
"619",7839975
"620",4405879
"621",4991053
"622",2519240
"623",5152119
"624",6864937
"625",5506111
"626",1618
"627",5525068
"628",2570629
"629",1312246
"630",7934871
"631",16714615
"632",88576
"633",2617112
"634",2589928
"635",2638624
"636",543
"637",3487253
"638",12329
"639",9616
"640",39603
"641",2328264
"642",5070924
"643",7467356
"644",6599511
"645",69018
"646",10315738
"647",154291
"648",14177
"649",15903
"650",319948
"651",97218
"652",11742314
"653",1353043
"654",116400
"655",18800
"656",20375
"657",5213506
"658",9861
"659",2609037
"660",5072622
"661",5194276
"662",22184
"663",2880591
"664",191935
"665",5227693
"666",16728
"667",1172
"668",5219763
"669",2505162
"670",9412896
"671",70790
"672",254
"673",5399705
"674",1831
"675",893
"676",14324331
"677",11471
"678",35331078
"679",6134
"680",18692434
"681",130347
"682",82473
"683",142070
"684",18590752
"685",300607
"686",1010366
"687",144740
"688",345014
"689",36319
"690",235921
"691",6642
"692",1081
"693",141006
"694",268609
"695",8054
"696",331038
"697",2025978
"698",50940
"699",47456281
"700",2076
"701",18689
"702",45108372
"703",1263
"704",6026
"705",28902276
"706",0
"707",419123
"708",0
"709",6480
"710",54192
"711",7881990
"712",63327655
"713",0
"714",0
"715",0
"716",0
"717",0
"718",6683273
"719",5460838
"720",1957755
"721",0
"722",0
"723",242319
"724",18987168
"725",5564
"726",835
"727",108209
"728",68593
"729",31871
"730",74013
"731",667873
"732",6328
"733",7513
"734",7267
"735",5406
"736",5964
"737",8091
"738",5245
"739",68435
"740",9630
"741",2109
"742",17567
"743",6063
"744",4374
"745",113559
"746",6829
"747",54035
"748",325565
"749",6678
"750",9343
"751",7547
"752",6918
"753",7153
"754",9620
"755",10948
"756",8524
"757",5220
"758",5936
"759",6944
"760",5695
"761",2745
"762",8514
"763",7477
"764",9064
"765",10851
"766",10120
"767",14040
"768",8919
"769",10682
"770",7826
"771",8411
"772",945879
"773",99017013
"774",5340271
"775",118983
"776",76449
"777",1125
"778",0
"779",38346
"780",2494
"781",2378544
"782",2414
"783",39666577
"784",18311
"785",16822549
"786",4399
"787",515393
"788",27019546
"789",1462585
"790",136678
"791",58730
"792",12681669
"793",2272065
"794",59138
"795",458610
"796",11127
"797",8827
"798",179342
"799",708680
"800",9876
"801",40036
"802",74839
"803",1600
"804",3246399
"805",577145
"806",11082266
"807",1065205
"808",1430663
"809",272995
"810",497092
"811",817
"812",219244
"813",443691
"814",0
"815",225724
"816",1010043
"817",885802
"818",0
"819",58572
"820",283713
"821",1576992
"822",396358
"823",0
"824",5838
"825",24914
"826",0
"827",1407399
"828",61039
"829",3967738
"830",36436547
"831",16310
"832",2111
"833",209542
"834",5356284
"835",15896165
"836",165476
"837",2755553
"838",2524611
"839",2635674
"840",10734031
"841",9152745
"842",5086486
"843",2598874
"844",2634767
"845",13113708
"846",9442492
"847",2619032
"848",2607638
"849",2607520
"850",5075450
"851",5069160
"852",5264218
"853",7077140
"854",381
"855",2624
"856",2693086
"857",2355349
"858",1873
"859",32279225
"860",1482
"861",21774609
"862",195405
"863",145409
"864",8150052
"865",322204
"866",22783
"867",421624
"868",0
"869",0
"870",2108
"871",2934696
"872",15131119
"873",358
"874",118641
"875",5516572
"876",1071
"877",2478484
"878",45469036
"879",0
"880",1263002
"881",7161
"882",160866
"883",16185
"884",677934
"885",89484
"886",31230204
"887",19300642
"888",8331672
"889",584822
"890",0
"891",5879737
"892",473
"893",5143398
"894",10464351
"895",5229245
"896",8670985
"897",16407
"898",4741104
"899",1349877
"900",667600
"901",10251563
"902",997
"903",603315
"904",52625
"905",758928
"906",8297706
"907",1737
"908",4154
"909",20390560
"910",1044611
"911",1157919
"912",2263172
"913",85008
"914",167980
"915",45327
"916",255854
"917",6025
"918",8409
"919",7487
"920",16392
"921",201838
"922",170008
"923",16210
"924",11261
"925",7641
"926",7632
"927",7229
"928",7813
"929",11040
"930",6335
"931",6773
"932",15402
"933",7014
"934",6605
"935",8295
"936",16163
"937",15497
"938",7771
"939",7099
"940",33297
"941",325215
"942",20120
"943",549
"944",5349
"945",8074
"946",5663
"947",367
"948",6473
"949",7774
"950",7477
"951",6504
"952",7740
"953",8135
"954",7687
"955",8203
"956",14307
"957",7933
"958",8432
"959",6729
"960",9060
"961",7718
"962",317964
"963",27455
"964",59026
"965",29127
"966",15506
"967",8325
"968",8569
"969",6957
"970",8564
"971",8342
"972",7352
"973",9026
"974",7640
"975",6870
"976",63443
"977",30814
"978",19532
"979",6562
"980",286
"981",3984
"982",7046
"983",7023
"984",12863
