Algorithm,data set,data size,deg sorted,memory used,run time
InsertionSort,census,99977,40,5.70706E7,225.2
InsertionSort,census,99977,60,5.70706E7,100.2
InsertionSort,census,99977,80,5.70706E7,25.4
InsertionSort,census,99977,100,5.70706E7,0.2


SelectionSort,census,19995,0,6.378988E7,201.4
SelectionSort,census,39990,0,6.378988E7,810.0
SelectionSort,census,59986,0,6.378988E7,1833.6
SelectionSort,census,79981,0,6.378988E7,3264.2
SelectionSort,census,99977,0,6.378988E7,5102.6

SelectionSort,census,99977,20,6.378988E7,5103.6
SelectionSort,census,99977,40,6.378988E7,5092.2
SelectionSort,census,99977,60,6.378988E7,5073.2
SelectionSort,census,99977,80,6.378988E7,5074.4
SelectionSort,census,99977,100,6.378988E7,5071.8


BubbleSort,census,19995,0,9.646828E7,104.4
BubbleSort,census,39990,0,9.646828E7,440.4
BubbleSort,census,59986,0,9.646828E7,983.2
BubbleSort,census,79981,0,9.646828E7,1696.2
BubbleSort,census,99977,0,9.646828E7,2642.2

BubbleSort,census,99977,20,9.646828E7,1809.2
BubbleSort,census,99977,40,9.646828E7,1178.8
BubbleSort,census,99977,60,9.646828E7,635.6
BubbleSort,census,99977,80,9.646828E7,234.4
BubbleSort,census,99977,100,9.646828E7,0.0


MergeSort,census,19995,0,2.37362907805088E13,5.6
MergeSort,census,39990,0,2.37362907805088E13,12.6
MergeSort,census,59986,0,2.37362907805088E13,18.6
MergeSort,census,79981,0,2.37362907805088E13,23.6
MergeSort,census,99977,0,2.37362907805088E13,31.0

MergeSort,census,99977,20,6.90822855183344E13,28.0
MergeSort,census,99977,40,6.90822855183344E13,25.2
MergeSort,census,99977,60,6.90822855183344E13,24.8
MergeSort,census,99977,80,6.90822855183344E13,22.6
MergeSort,census,99977,100,6.90822855183344E13,21.4


QuickSort,census,19995,0,2.26572782274384E13,1.8
QuickSort,census,39990,0,2.26572782274384E13,2.8
QuickSort,census,59986,0,2.26572782274384E13,4.4
QuickSort,census,79981,0,2.26572782274384E13,6.2
QuickSort,census,99977,0,2.26572782274384E13,7.6

QuickSort,census,99977,20,3.76936183014768E13,7.4
QuickSort,census,99977,40,3.76936183014768E13,7.4
QuickSort,census,99977,60,3.76936183014768E13,7.4
QuickSort,census,99977,80,3.76936183014768E13,6.6
QuickSort,census,99977,100,3.76936183014768E13,7.0

InsertionSort,weather,19999,0,5.728944E7,25.4
InsertionSort,weather,39999,0,5.728944E7,99.8
InsertionSort,weather,59999,0,5.728944E7,242.0
InsertionSort,weather,79999,0,5.728944E7,414.6
InsertionSort,weather,99999,0,5.728944E7,673.8

InsertionSort,weather,99999,20,5.779184E7,436.8
InsertionSort,weather,99999,40,5.779184E7,273.4
InsertionSort,weather,99999,60,5.779184E7,100.2
InsertionSort,weather,99999,80,5.779184E7,25.2
InsertionSort,weather,99999,100,5.779184E7,0.2


SelectionSort,weather,19999,0,9.28632E7,204.0
SelectionSort,weather,39999,0,9.28632E7,811.6
SelectionSort,weather,59999,0,9.28632E7,1826.4
SelectionSort,weather,79999,0,9.28632E7,3247.8
SelectionSort,weather,99999,0,9.28632E7,5090.6

SelectionSort,weather,99999,20,9.548464E7,5079.8
SelectionSort,weather,99999,40,9.548464E7,5072.8
SelectionSort,weather,99999,60,9.548464E7,5056.4
SelectionSort,weather,99999,80,9.548464E7,5061.0
SelectionSort,weather,99999,100,9.548464E7,5063.2


BubbleSort,weather,19999,0,1.5832304E8,55.4
BubbleSort,weather,39999,0,1.5832304E8,224.8
BubbleSort,weather,59999,0,1.5832304E8,593.8
BubbleSort,weather,79999,0,1.5832304E8,993.2
BubbleSort,weather,99999,0,1.5832304E8,1678.4

BubbleSort,weather,99999,20,1.5832304E8,1370.4
BubbleSort,weather,99999,40,1.5832304E8,993.4
BubbleSort,weather,99999,60,1.5832304E8,609.4
BubbleSort,weather,99999,80,1.5832304E8,235.6
BubbleSort,weather,99999,100,1.5832304E8,0.0


MergeSort,weather,19999,0,3.29072009966848E13,4.8
MergeSort,weather,39999,0,3.29072009966848E13,9.6
MergeSort,weather,59999,0,3.29072009966848E13,14.8
MergeSort,weather,79999,0,3.29072009966848E13,19.8
MergeSort,weather,99999,0,3.29072009966848E13,25.6

MergeSort,weather,99999,20,6.31313744212768E13,25.0
MergeSort,weather,99999,40,6.31313744212768E13,23.6
MergeSort,weather,99999,60,6.31313744212768E13,22.6
MergeSort,weather,99999,80,6.31313744212768E13,21.8
MergeSort,weather,99999,100,6.31313744212768E13,20.6


QuickSort,weather,19999,0,1.475643152952E13,1.4
QuickSort,weather,39999,0,1.475643152952E13,3.0
QuickSort,weather,59999,0,1.475643152952E13,4.4
QuickSort,weather,79999,0,1.475643152952E13,5.8
QuickSort,weather,99999,0,1.475643152952E13,7.4

QuickSort,weather,99999,20,2.41010189799648E13,7.0
QuickSort,weather,99999,40,2.41010189799648E13,7.2
QuickSort,weather,99999,60,2.41010189799648E13,7.0
QuickSort,weather,99999,80,2.41010189799648E13,6.8
QuickSort,weather,99999,100,2.41010189799648E13,6.8

